Narrative,Fakes,Disinfo_cases_en,Date,Countries,Media,Link
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,One year MH17 – hasty blame and politicization of a misfortune,16/07/2015,Germany,RT.DE,https://de.rt.com/26265/international/ein-jahr-mh17-voreilige-schuldzuweisungen-und-politisierung-eines-ungluecks/
Maidan in 2014 was a coup d'état,Maidan in 2014 was a coup d'état,The National Guard was not re-established in its current form until after the Maidan coup in 2014…,22/07/2015,Germany,RT.DE,https://de.rt.com/26794/international/nato-manoever-rapid-trident-2015-in-der-ukraine-bundeswehr-trainiert-mit-ukrainischen-neo-nazi-bataillonen/
Nazis and ultra-nationalists in Ukraine,Nazi ideology is widespread in Ukraine, NATO maneuver Rapid Trident 2015 in Ukraine: Bundeswehr trains with Ukrainian neo-Nazi battalions,22/07/2015,Germany,RT.DE,https://de.rt.com/26794/international/nato-manoever-rapid-trident-2015-in-der-ukraine-bundeswehr-trainiert-mit-ukrainischen-neo-nazi-bataillonen/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",Despite significant signs of disintegration in the European Union and a civil war in the Ukraine…,22/07/2015,Germany,RT.DE,https://de.rt.com/26859/inland/deutschland-will-angola-zum-grossabnehmer-von-ruestungsguetern-aufbauen/
The West controls Ukraine and uses it to its advantage,Ukraine is a puppet of the West in its global game,How Hollywood and American Diplomats Lead Ukraine's Domestic Politics,8/8/2015,Germany,RT.DE,https://de.rt.com/26291/international/hollywood-und-us-diplomaten-lenken-ukrainische-innenpolitik/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","In contrast to Ukraine, Greece does not afford a civil war against parts of its own population.",11/8/2015,Germany,RT.DE,https://de.rt.com/28540/wirtschaft/iwf-lobt-enorme-reformfortschritte-kiews-doch-ukraine-steht-erneut-vor-zahlungungsfaehigkeit-und-fordert-schuldenschnitt-von-40-prozent/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"Moscow also has valid legal reasons to consider Crimea as part of Russia, because the decision of Khrushchev, who in 1954 ""gave"" Crimea to Ukraine, was illegal, as the Supreme Soviet did not have the right to ratify it.",24/08/2015,Italy,Controinformazione,https://www.controinformazione.info/japan-times-la-crimea-era-e-resta-russa/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",…after the Maidan riots and the start of the civil war in the east of the country…,1/9/2015,Germany,RT.DE,https://de.rt.com/30475/international/bildungsexodus-in-der-ukraine-zehntausende-studenten-verlassen-ukraine-aus-angst-vor-wehrdienst-und-wirtschaftschaos/
Ukraine is a failed state,Ukraine's economy and political institutions barely function,"Ukraine, an increasingly failed state at the gates of Europe.",2/9/2015,Italy,Lindro,https://lindro.it/ucraina-sempre-piu-stato-fallito-alle-porte-deuropa/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","Russia has already taken in around 700,000 refugees from the eastern civil war zones. ",22/09/2015,Germany,RT.DE,https://de.rt.com/32437/meinung/die-krim-ein-reisebericht/
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets",Extraordinary is the example of Ukraine where a coup was created in the belief that Russia would not react…,15/12/2015,Italy,Ilsimplicissimus,https://ilsimplicissimus2.com/2015/02/15/isis-e-terrorismo/
Ukraine is a failed state,Ukraine's economy and political institutions barely function,"Ukraine, another defaulted state, political and economic, in the garden of Europe",17/02/2016,Italy,ilfoglio.it,https://www.ilfoglio.it/esteri/2016/02/17/news/ucraina-un-altro-stato-in-default-politico-ed-economico-nel-giardino-dell-europa-92826/
Ukraine is a failed state,Ukraine's economy and political institutions barely function,The country has come close to political and economic failure such as to nullify every effort made to date by Europe and the United States to support Kiev against Russia.,17/02/2016,Italy,ilfoglio.it,https://www.ilfoglio.it/esteri/2016/02/17/news/ucraina-un-altro-stato-in-default-politico-ed-economico-nel-giardino-dell-europa-92826/
The West controls Ukraine and uses it to its advantage,The West controls the authorities in Ukraine,"The United States and Europe, ""shareholders"" of Kiev, are starting to wonder whether it is useful to continue to financially support the pro-Western government.",17/02/2016,Italy,Ilfoglio,https://www.ilfoglio.it/esteri/2016/02/17/news/ucraina-un-altro-stato-in-default-politico-ed-economico-nel-giardino-dell-europa-92826/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West is tired of Ukraine,"The United States and Europe, ""shareholders"" of Kiev, are starting to wonder whether it is useful to continue to financially support the pro-Western government.",17/02/2016,Italy,Ilfoglio,https://www.ilfoglio.it/esteri/2016/02/17/news/ucraina-un-altro-stato-in-default-politico-ed-economico-nel-giardino-dell-europa-92826/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.","The West does not care about Ukraine
","The United States and Europe, ""shareholders"" of Kiev, are starting to wonder whether it is useful to continue to financially support the pro-Western government.",17/02/2016,Italy,ilfoglio.it,https://www.ilfoglio.it/esteri/2016/02/17/news/ucraina-un-altro-stato-in-default-politico-ed-economico-nel-giardino-dell-europa-92826/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"In March 2014, Crimea and Sevastopol became Russian regions again: the reunification with Russia in the referendum was supported by 96.77% of the inhabitants of Crimea and by 95.6% of those of Sevastopol. ",4/6/2016,Italy,SNA.IT,https://it.sputniknews.com/20160604/crime-isolamento-occidente-2821400.html
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,The Kiev authorities should consider the reunification of Crimea with Russia as the beginning of a real decomunization of Ukraine.,4/6/2016,Italy,SNA.IT,https://it.sputniknews.com/20160604/crimea-ucraina-decomunizzazione-2820769.html
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"In March 2014, Crimea and Sevastopol returned to being Russian regions: the reunification with Russia in the referendum was supported by 96.77% of the inhabitants of Crimea and by 95.6% of those of Sevastopol.",4/6/2016,Italy,SNA.IT,https://it.sputniknews.com/20160604/crimea-ucraina-decomunizzazione-2820769.html
Maidan in 2014 was a coup d'état,Maidan in 2014 was a coup d'état,The billionaire George Soros: I financed the coup in Ukraine,29/07/2016,Italy,lantidiplomatico.it,https://www.lantidiplomatico.it/dettnews-il_miliardario_george_soros_io_ho_finanziato_il_colpo_di_stato_in_ucraina/82_16747/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,Crimea has returned to being a Russian region after the referendum that took place following the coup d'état in Ukraine. 95% of those eligible voted for reunification with the Russian Federation.,3/9/2016,Italy,SNA.IT,https://it.sputniknews.com/20160903/putin-crimea-appartenenza-3330014.html
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war"," In addition to the civil war, Ukraine is in the throes of a severe economic crisis, with very high corruption, and the West does not seem able to keep its promises.",25/09/2016,Italy,ilsussidiario.net,https://www.ilsussidiario.net/news/esteri/2016/9/25/scenari-ucraina-dietro-l-europa-le-promesse-tradite-degli-usa/725050/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","The results hoped for by the first Maidan activists have not materialized, however: the national debt ratio has doubled, the civil war in eastern Ukraine..",21/11/2016,Germany,RT.DE,https://de.rt.com/kurzclips/video/43437-3-jahrestag-maidan-proteste-schulden/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","However, the results hoped for by the first Maidan activists did not materialize: the national debt ratio has doubled, civil war in eastern Ukraine and Poroshenko's approval ratings are lower than those of Yanukovych ever were.",21/11/2016,Germany,RT.DE,https://de.rt.com/kurzclips/video/43437-3-jahrestag-maidan-proteste-schulden/
Nazis and ultra-nationalists in Ukraine,The West ignores the Nazi problem in Ukraine,"European countries do not have the courage to admit the obvious: after Maidan Ukraine did not become a democratic state, but extremists and supporters of nationalist movements as never before have gained considerable political weight.",28/12/2016,Italy,SNA.IT,https://it.sputniknews.com/20161228/Bandera-violenza-Kiev-democrazia-Freitag-UE-3852207.html
Nazis and ultra-nationalists in Ukraine,The West ignores the Nazi problem in Ukraine,"in Europe ""the chauvinist drift and the almost fascist brutality"" that accompanied the Ukrainian revolution are overlooked",28/12/2016,Italy,SNA.IT,https://it.sputniknews.com/20161228/Bandera-violenza-Kiev-democrazia-Freitag-UE-3852207.html
Nazis and ultra-nationalists in Ukraine,The West ignores the Nazi problem in Ukraine,"Europe remains silent regarding the process of glorifying the father of Ukrainian nationalism, responsible for the massacres of Poles and Jews in western Ukraine alongside Nazi German troops during World War II.",28/12/2016,Italy,SNA.IT,https://it.sputniknews.com/20161228/Bandera-violenza-Kiev-democrazia-Freitag-UE-3852207.html
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",Dozen dead in eastern Ukraine - the smoldering civil war flares up again,1/2/2017,Germany,RT.DE,https://de.rt.com/kurzclips/video/45995-dutzende-tote-ost-ukraine-buergerkrieg/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",Dozens dead in eastern Ukraine - the smoldering civil war flares up again  ,1/2/2017,Germany,RT.DE,https://de.rt.com/kurzclips/video/45995-dutzende-tote-ost-ukraine-buergerkrieg/
Ukraine is conducting an aggressive policy,Ukraine escalates the conflict in Donbas,"Yesterday, the city of Makeevka, Donetsk region, was heavily shelled again. The city, populated mostly by Russians, has been under the control of the self-proclaimed Donetsk People's Republic since 2014. At least two people were killed in a recent shelling that was blamed on the Ukrainian army.",2/2/2017,Germany,RT.DE,https://de.rt.com/kurzclips/video/46037-ostukraine-leid-tote-beschuss-donezk-makijiwka/
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets",the coup in Ukraine was orchestrated by billionaire financier George Soros and representatives of the Obama administration.,24/02/2017,Italy,SNA.IT,https://it.sputniknews.com/20170224/Maidan-nazisti-golpe-rivoluzione-Trump-LaRouche-Schiller-Manhattan-4116383.html
Nazis and ultra-nationalists in Ukraine,Nazis/right-wing nationalist government took power after the coup d'état in Kyiv,"Its leader, political activist and philosopher Lyndon LaRouche, said that following the coup d'état three years ago in Kyiv, the ""Nazis"" supported by Obama and Soros took power.",24/02/2017,Italy,SNA.IT,https://it.sputniknews.com/20170224/Maidan-nazisti-golpe-rivoluzione-Trump-LaRouche-Schiller-Manhattan-4116383.html
Ukraine is conducting an aggressive policy,Kyiv ignores fulfillment ot the Minsk Agreements,This is absurd - Poroshenko does not fulfill Minsk obligations and Russia is sanctioned,21/06/2017,Germany,RT.DE,https://de.rt.com/kurzclips/video/52753-absurd-poroschenko-minsk-sanktionen/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,Moscow has repeatedly stated that it is not a party to the Ukrainian internal conflict and that it is concerned for Ukraine to overcome the political and economic crisis. ,27/06/2017,Italy,SNA.IT,https://it.sputniknews.com/20211217/i-leader-dei-paesi-dellue-votano-allunanimita-per-il-prolungamento-delle-sanzioni-alla-Russia-14222990.html
Russians are discriminated in Ukraine,There is a discrimination of Russians in Ukraine,"In addition, the Russian president said that the current Ukrainian authorities have only one element of bargaining: they are selling Russophobia and the issue of secession from Russia, but expressed the hope that this will end sooner or later.",8/7/2017,Italy,SNA.IT,https://it.sputniknews.com/20170708/Ucraina-Russia-russofobia-Occidente-G20-Amburgo-4736635.html
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"since 2014, from the day of the referendum which, although disputed, sanctioned the return of Crimea to Russia",27/8/2017,Italy,SNA.IT,https://it.sputniknews.com/20170827/crimea-storia-futuro-4949329.html
Nazis and ultra-nationalists in Ukraine,European Union support neo-Nazi forces in Ukraine,"Did you know that the Merkel government has officially taken up the cause of the ""fight against the right-wing"" but supports a nationalist putschist regime in Ukraine that officially celebrates the Nazi collaborator Stepan Bandera as a national hero and right-wing militias with it Tolerates SS symbolism and even finances it?",28/08/2017,Germany,Philosophia Perennis,https://philosophia-perennis.com/2017/08/28/merkelwaehler/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,Crimea became a Russian region according to the results of the referendum held after the coup in Ukraine. More than 95% of the inhabitants of Crimea voted in favor of reunification with Russia.  ,12/9/2017,Italy,SNA.IT,https://it.sputniknews.com/20170912/Crimea-UE-elezioni-diritti-uomo-5007326.html
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,Maidan snipers were backed by the EU.,15/11/2017,Italy,Imola Oggi,https://www.imolaoggi.it/2017/11/15/ucraina-i-cecchini-di-maidan-erano-appoggiati-dalla-ue/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,The reunification of Crimea with Russia took place after a referendum held in March 2014. 96.77% of the voters of the Republic of Crimea and 95.6% of the residents of Sevastopol voted for reunification with Russia. The Crimean authorities conducted the referendum at the will of the citizens after the coup in Ukraine in February 2014. ,10/12/2017,Italy,SNA.IT,https://it.sputniknews.com/20171210/Poroshenko-Ucraina-crimea-5385834.html
Nord Stream-2 ,Ukraine steals from the gas pipeline passing through its territory,Kiev in 2014 and 2015 had plans to mine the Russian gas pipeline to Europe through the territory of Ukraine.,4/1/2018,Italy,SNA.IT,https://it.sputniknews.com/20220208/cancellazione-nord-stream-danneggerebbe-la-germania-usa-non-in-grado-di-sostituire-le-forniture-14991380.html
Ukraine is conducting an aggressive policy,Ukraine denounced Minsk Agreements,"New ""Donbass Reintegration Law"" - Kiev throws Minsk peace process overboard",19/01/2018,Germany,RT.DE,https://de.rt.com/europa/63861-neues-donbass-reintegrationsgesetz-kiew-wirft-minsker-friedensprozess-ueber-bord/
Schismatic Ukrainian Church,Poroshenko has made division among churches in Ukraine,"However, both Poroshenko and Bartholomew rely only on the unrecognized, only recently self-separated Church of the Kiev Patriarchate of Rus-Ukraine with the self-proclaimed Patriarch Philaret at the head and a numerically small so-called Ukrainian autocephalous church. ",14/02/2018,Germany,RT.DE,https://de.rt.com/europa/81112-patriarch-kirill-appelliert-an-merkel-verfolgung-kirche-ukraine/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"Crimea became a Russian region in March 2014, after a referendum in which 96.77% of voters voted for entry into the Russian Federation.     ",15/2/2018,Italy,SNA.IT,https://it.sputniknews.com/20180515/crimeani-vicini-Russia-ucraina-6010638.html
Nazis and ultra-nationalists in Ukraine,Neo-fascist/neo-Nazi forces participated in the coup d'état in 2014,"Even before the fatal shots were fired by snipers, young, very well educated people organized themselves because they condemned the neo-Nazi violence in Kyiv and other cities and didn't want to simply abandon themselves and the country to fate.",18/02/2018,Germany,RT.DE,https://de.rt.com/meinung/65299-ukraine-krim-und-frage-nach/
